Title,Description,Date,Category,Cleaned_Title,Cleaned_Description,Spellchecked_Title,Spellchecked_Description,tokenized_title,tokenized_description,title_no_stopwords,description_no_stopwords,title_stem_only,description_stem_only,title_lemma_only,description_lemma_only
OpenAI forges deal with iPhone designer Jony Ive to make AI-enabled devices,"May 22, 2025  The $6.5 billion deal brings together the maker of ChatGPT and one of the world's most famous product designers in a venture to create new AI-enabled devices.",2025-05-22,technology,openai forges deal with iphone designer jony ive to make aienabled devices,may the billion deal brings together the maker of chatgpt and one of the worlds most famous product designers in a venture to create new aienabled devices,opening forges deal with iphone designer joy vie to make alienable devices,may the billion deal brings together the maker of chatting and one of the worlds most famous product designers in a venture to create new alienable devices,"['opening', 'forges', 'deal', 'with', 'iphone', 'designer', 'joy', 'vie', 'to', 'make', 'alienable', 'devices']","['may', 'the', 'billion', 'deal', 'brings', 'together', 'the', 'maker', 'of', 'chatting', 'and', 'one', 'of', 'the', 'worlds', 'most', 'famous', 'product', 'designers', 'in', 'a', 'venture', 'to', 'create', 'new', 'alienable', 'devices']","['opening', 'forges', 'deal', 'iphone', 'designer', 'joy', 'vie', 'make', 'alienable', 'devices']","['may', 'billion', 'deal', 'brings', 'together', 'maker', 'chatting', 'one', 'worlds', 'famous', 'product', 'designers', 'venture', 'create', 'new', 'alienable', 'devices']","['open', 'forg', 'deal', 'iphon', 'design', 'joy', 'vie', 'make', 'alien', 'devic']","['may', 'billion', 'deal', 'bring', 'togeth', 'maker', 'chat', 'one', 'world', 'famous', 'product', 'design', 'ventur', 'creat', 'new', 'alien', 'devic']","['open', 'forge', 'deal', 'iphone', 'designer', 'joy', 'vie', 'make', 'alienable', 'device']","['may', 'billion', 'deal', 'bring', 'together', 'maker', 'chat', 'one', 'world', 'famous', 'product', 'designer', 'venture', 'create', 'new', 'alienable', 'device']"
"Raising ethics questions, top Trump meme coin investors to dine with president tonight","May 22, 2025  President Trump is hosting an exclusive dinner tonight for the largest investors in the $TRUMP meme coin, putting the murky world of cryptocurrencies on a collision course with White House ethics.",2025-05-22,technology,raising ethics questions top trump meme coin investors to dine with president tonight,may president trump is hosting an exclusive dinner tonight for the largest investors in the trump meme coin putting the murky world of cryptocurrencies on a collision course with white house ethics,raising ethics questions top trump meme coin investors to dine with president tonight,may president trump is hosting an exclusive dinner tonight for the largest investors in the trump meme coin putting the murky world of on a collision course with white house ethics,"['raising', 'ethics', 'questions', 'top', 'trump', 'meme', 'coin', 'investors', 'to', 'dine', 'with', 'president', 'tonight']","['may', 'president', 'trump', 'is', 'hosting', 'an', 'exclusive', 'dinner', 'tonight', 'for', 'the', 'largest', 'investors', 'in', 'the', 'trump', 'meme', 'coin', 'putting', 'the', 'murky', 'world', 'of', 'on', 'a', 'collision', 'course', 'with', 'white', 'house', 'ethics']","['raising', 'ethics', 'questions', 'top', 'trump', 'meme', 'coin', 'investors', 'dine', 'president', 'tonight']","['may', 'president', 'trump', 'hosting', 'exclusive', 'dinner', 'tonight', 'largest', 'investors', 'trump', 'meme', 'coin', 'putting', 'murky', 'world', 'collision', 'course', 'white', 'house', 'ethics']","['rais', 'ethic', 'question', 'top', 'trump', 'meme', 'coin', 'investor', 'dine', 'presid', 'tonight']","['may', 'presid', 'trump', 'host', 'exclus', 'dinner', 'tonight', 'largest', 'investor', 'trump', 'meme', 'coin', 'put', 'murki', 'world', 'collis', 'cours', 'white', 'hous', 'ethic']","['raise', 'ethic', 'question', 'top', 'trump', 'meme', 'coin', 'investor', 'dine', 'president', 'tonight']","['may', 'president', 'trump', 'host', 'exclusive', 'dinner', 'tonight', 'large', 'investor', 'trump', 'meme', 'coin', 'putting', 'murky', 'world', 'collision', 'course', 'white', 'house', 'ethic']"
A Newark air traffic controller on the moment systems went dark,"May 21, 2025  Federal regulators are now limiting the number of flights in and out of Newark Liberty International Airport. This comes after a harrowing month for the air traffic controllers who work the airspace around it.",2025-05-21,technology,a newark air traffic controller on the moment systems went dark,may federal regulators are now limiting the number of flights in and out of newark liberty international airport this comes after a harrowing month for the air traffic controllers who work the airspace around it,a newark air traffic controller on the moment systems went dark,may federal regulators are now limiting the number of flights in and out of newark liberty international airport this comes after a harrowing month for the air traffic controllers who work the airspace around it,"['a', 'newark', 'air', 'traffic', 'controller', 'on', 'the', 'moment', 'systems', 'went', 'dark']","['may', 'federal', 'regulators', 'are', 'now', 'limiting', 'the', 'number', 'of', 'flights', 'in', 'and', 'out', 'of', 'newark', 'liberty', 'international', 'airport', 'this', 'comes', 'after', 'a', 'harrowing', 'month', 'for', 'the', 'air', 'traffic', 'controllers', 'who', 'work', 'the', 'airspace', 'around', 'it']","['newark', 'air', 'traffic', 'controller', 'moment', 'systems', 'went', 'dark']","['may', 'federal', 'regulators', 'now', 'limiting', 'number', 'flights', 'newark', 'liberty', 'international', 'airport', 'comes', 'harrowing', 'month', 'air', 'traffic', 'controllers', 'work', 'airspace', 'around']","['newark', 'air', 'traffic', 'control', 'moment', 'system', 'went', 'dark']","['may', 'feder', 'regul', 'now', 'limit', 'number', 'flight', 'newark', 'liberti', 'intern', 'airport', 'come', 'harrow', 'month', 'air', 'traffic', 'control', 'work', 'airspac', 'around']","['newark', 'air', 'traffic', 'controller', 'moment', 'system', 'go', 'dark']","['may', 'federal', 'regulator', 'now', 'limit', 'numb', 'flight', 'newark', 'liberty', 'international', 'airport', 'come', 'harrow', 'month', 'air', 'traffic', 'controller', 'work', 'airspace', 'around']"
The great battery race: China and the U.S. compete over the future of EVs,"May 21, 2025  The car you drive years in the future might run off a battery being invented in a lab today. Companies in China and the United States are racing to perfect and scale up next-generation technologies.",2025-05-21,technology,the great battery race china and the us compete over the future of evs,may the car you drive years in the future might run off a battery being invented in a lab today companies in china and the united states are racing to perfect and scale up nextgeneration technologies,the great battery race china and the us compete over the future of eve,may the car you drive years in the future might run off a battery being invented in a lab today companies in china and the united states are racing to perfect and scale up next generation technologies,"['the', 'great', 'battery', 'race', 'china', 'and', 'the', 'us', 'compete', 'over', 'the', 'future', 'of', 'eve']","['may', 'the', 'car', 'you', 'drive', 'years', 'in', 'the', 'future', 'might', 'run', 'off', 'a', 'battery', 'being', 'invented', 'in', 'a', 'lab', 'today', 'companies', 'in', 'china', 'and', 'the', 'united', 'states', 'are', 'racing', 'to', 'perfect', 'and', 'scale', 'up', 'next', 'generation', 'technologies']","['great', 'battery', 'race', 'china', 'us', 'compete', 'future', 'eve']","['may', 'car', 'drive', 'years', 'future', 'might', 'run', 'battery', 'invented', 'lab', 'today', 'companies', 'china', 'united', 'states', 'racing', 'perfect', 'scale', 'next', 'generation', 'technologies']","['great', 'batteri', 'race', 'china', 'us', 'compet', 'futur', 'eve']","['may', 'car', 'drive', 'year', 'futur', 'might', 'run', 'batteri', 'invent', 'lab', 'today', 'compani', 'china', 'unit', 'state', 'race', 'perfect', 'scale', 'next', 'generat', 'technolog']","['great', 'battery', 'race', 'china', 'us', 'compete', 'future', 'eve']","['may', 'car', 'drive', 'year', 'future', 'may', 'run', 'battery', 'invent', 'lab', 'today', 'company', 'china', 'unite', 'state', 'race', 'perfect', 'scale', 'next', 'generation', 'technology']"
Musk to slow down political spending: 'I think I've done enough',"May 20, 2025  The billionaire executive was Trump's biggest donor in 2024. Now, however, he is planning to cut back his spending on politics, he said on Tuesday.",2025-05-20,technology,musk to slow down political spending i think i have done enough,may the billionaire executive was trumps biggest donor in now however he is planning to cut back his spending on politics he said on tuesday,musk to slow down political spending i think i have done enough,may the billionaire executive was trumps biggest donor in now however he is planning to cut back his spending on politics he said on,"['musk', 'to', 'slow', 'down', 'political', 'spending', 'i', 'think', 'i', 'have', 'done', 'enough']","['may', 'the', 'billionaire', 'executive', 'was', 'trumps', 'biggest', 'donor', 'in', 'now', 'however', 'he', 'is', 'planning', 'to', 'cut', 'back', 'his', 'spending', 'on', 'politics', 'he', 'said', 'on']","['musk', 'slow', 'political', 'spending', 'think', 'done', 'enough']","['may', 'billionaire', 'executive', 'trumps', 'biggest', 'donor', 'now', 'however', 'planning', 'cut', 'back', 'spending', 'politics', 'said']","['musk', 'slow', 'polit', 'spend', 'think', 'done', 'enough']","['may', 'billionair', 'execut', 'trump', 'biggest', 'donor', 'now', 'howev', 'plan', 'cut', 'back', 'spend', 'polit', 'said']","['musk', 'slow', 'political', 'spend', 'think', 'do', 'enough']","['may', 'billionaire', 'executive', 'trump', 'big', 'donor', 'now', 'however', 'plan', 'cut', 'back', 'spend', 'politic', 'say']"
Verizon ends DEI policies to get FCC's blessing for its $20 billion Frontier deal,"May 19, 2025  It's the latest big company to back away from its diversity pledges to keep the U.S. government happy.",2025-05-19,technology,verizon ends dei policies to get fccs blessing for its billion frontier deal,may it is the latest big company to back away from its diversity pledges to keep the us government happy,verizon ends die policies to get fcc blessing for its billion frontier deal,may it is the latest big company to back away from its diversity pledges to keep the us government happy,"['verizon', 'ends', 'die', 'policies', 'to', 'get', 'fcc', 'blessing', 'for', 'its', 'billion', 'frontier', 'deal']","['may', 'it', 'is', 'the', 'latest', 'big', 'company', 'to', 'back', 'away', 'from', 'its', 'diversity', 'pledges', 'to', 'keep', 'the', 'us', 'government', 'happy']","['verizon', 'ends', 'die', 'policies', 'get', 'fcc', 'blessing', 'billion', 'frontier', 'deal']","['may', 'latest', 'big', 'company', 'back', 'away', 'diversity', 'pledges', 'keep', 'us', 'government', 'happy']","['verizon', 'end', 'die', 'polici', 'get', 'fcc', 'bless', 'billion', 'frontier', 'deal']","['may', 'latest', 'big', 'compani', 'back', 'away', 'divers', 'pledg', 'keep', 'us', 'govern', 'happi']","['verizon', 'end', 'die', 'policy', 'get', 'fcc', 'bless', 'billion', 'frontier', 'deal']","['may', 'late', 'big', 'company', 'back', 'away', 'diversity', 'pledge', 'keep', 'us', 'government', 'happy']"
Labor watchdog opens investigation into DOGE whistleblower claims after NPR reporting,"May 16, 2025  DOGE employees demanded the highest level of access to the labor agency's systems, according to a whistleblower and reporting from NPR. The whistleblower said sensitive data then left the agency.",2025-05-16,technology,labor watchdog opens investigation into doge whistleblower claims after npr reporting,may doge employees demanded the highest level of access to the labor agencys systems according to a whistleblower and reporting from npr the whistleblower said sensitive data then left the agency,labor watchdog opens investigation into doge claims after npr reporting,may doge employees demanded the highest level of access to the labor agency systems according to a and reporting from npr the said sensitive data then left the agency,"['labor', 'watchdog', 'opens', 'investigation', 'into', 'doge', 'claims', 'after', 'npr', 'reporting']","['may', 'doge', 'employees', 'demanded', 'the', 'highest', 'level', 'of', 'access', 'to', 'the', 'labor', 'agency', 'systems', 'according', 'to', 'a', 'and', 'reporting', 'from', 'npr', 'the', 'said', 'sensitive', 'data', 'then', 'left', 'the', 'agency']","['labor', 'watchdog', 'opens', 'investigation', 'doge', 'claims', 'npr', 'reporting']","['may', 'doge', 'employees', 'demanded', 'highest', 'level', 'access', 'labor', 'agency', 'systems', 'according', 'reporting', 'npr', 'said', 'sensitive', 'data', 'left', 'agency']","['labor', 'watchdog', 'open', 'investig', 'doge', 'claim', 'npr', 'report']","['may', 'doge', 'employe', 'demand', 'highest', 'level', 'access', 'labor', 'agenc', 'system', 'accord', 'report', 'npr', 'said', 'sensit', 'data', 'left', 'agenc']","['labor', 'watchdog', 'open', 'investigation', 'doge', 'claim', 'npr', 'report']","['may', 'doge', 'employee', 'demand', 'high', 'level', 'access', 'labor', 'agency', 'system', 'accord', 'report', 'npr', 'say', 'sensitive', 'datum', 'leave', 'agency']"
"A tale of murder, artificial intelligence, & forgiveness","May 14, 2025  Should AI give you a voice? Even when you've been murdered?",2025-05-14,technology,a tale of murder artificial intelligence forgiveness,may should ai give you a voice even when you have been murdered,a tale of murder artificial intelligence forgiveness,may should ai give you a voice even when you have been murdered,"['a', 'tale', 'of', 'murder', 'artificial', 'intelligence', 'forgiveness']","['may', 'should', 'ai', 'give', 'you', 'a', 'voice', 'even', 'when', 'you', 'have', 'been', 'murdered']","['tale', 'murder', 'artificial', 'intelligence', 'forgiveness']","['may', 'ai', 'give', 'voice', 'even', 'murdered']","['tale', 'murder', 'artifici', 'intellig', 'forgiv']","['may', 'ai', 'give', 'voic', 'even', 'murder']","['tale', 'murder', 'artificial', 'intelligence', 'forgiveness']","['may', 'ai', 'give', 'voice', 'even', 'murder']"
Is AI the future of America's foreign policy? Some experts think so,"May 12, 2025  Large language models like ChatGPT and DeepSeek are increasingly being looked at for their potential to help make decisions in high-stakes situations.",2025-05-12,technology,is ai the future of americas foreign policy some experts think so,may large language models like chatgpt and deepseek are increasingly being looked at for their potential to help make decisions in highstakes situations,is ai the future of foreign policy some experts think so,may large language models like chatting and are increasingly being looked at for their potential to help make decisions in situations,"['is', 'ai', 'the', 'future', 'of', 'foreign', 'policy', 'some', 'experts', 'think', 'so']","['may', 'large', 'language', 'models', 'like', 'chatting', 'and', 'are', 'increasingly', 'being', 'looked', 'at', 'for', 'their', 'potential', 'to', 'help', 'make', 'decisions', 'in', 'situations']","['ai', 'future', 'foreign', 'policy', 'experts', 'think']","['may', 'large', 'language', 'models', 'like', 'chatting', 'increasingly', 'looked', 'potential', 'help', 'make', 'decisions', 'situations']","['ai', 'futur', 'foreign', 'polici', 'expert', 'think']","['may', 'larg', 'languag', 'model', 'like', 'chat', 'increas', 'look', 'potenti', 'help', 'make', 'decis', 'situat']","['ai', 'future', 'foreign', 'policy', 'expert', 'think']","['may', 'large', 'language', 'model', 'like', 'chat', 'increasingly', 'look', 'potential', 'help', 'make', 'decision', 'situation']"
Elizabeth Holmes' partner raises millions for new biotech testing startup,"May 10, 2025  The incarcerated former Silicon Valley star is advising her partner on a new health tech startup. Holmes was convicted of defrauding investors in her blood-testing company Theranos.",2025-05-10,technology,elizabeth holmes partner raises millions for new biotech testing startup,may the incarcerated former silicon valley star is advising her partner on a new health tech startup holmes was convicted of defrauding investors in her bloodtesting company theranos,elizabeth partner raises millions for new biotech testing startup,may the incarcerated former silicon valley star is advising her partner on a new health tech startup was convicted of defrauding investors in her bloodletting company another,"['elizabeth', 'partner', 'raises', 'millions', 'for', 'new', 'biotech', 'testing', 'startup']","['may', 'the', 'incarcerated', 'former', 'silicon', 'valley', 'star', 'is', 'advising', 'her', 'partner', 'on', 'a', 'new', 'health', 'tech', 'startup', 'was', 'convicted', 'of', 'defrauding', 'investors', 'in', 'her', 'bloodletting', 'company', 'another']","['elizabeth', 'partner', 'raises', 'millions', 'new', 'biotech', 'testing', 'startup']","['may', 'incarcerated', 'former', 'silicon', 'valley', 'star', 'advising', 'partner', 'new', 'health', 'tech', 'startup', 'convicted', 'defrauding', 'investors', 'bloodletting', 'company', 'another']","['elizabeth', 'partner', 'rais', 'million', 'new', 'biotech', 'test', 'startup']","['may', 'incarcer', 'former', 'silicon', 'valley', 'star', 'advis', 'partner', 'new', 'health', 'tech', 'startup', 'convict', 'defraud', 'investor', 'bloodlet', 'compani', 'anoth']","['elizabeth', 'partner', 'raise', 'million', 'new', 'biotech', 'test', 'startup']","['may', 'incarcerate', 'former', 'silicon', 'valley', 'star', 'advise', 'partner', 'new', 'health', 'tech', 'startup', 'convict', 'defraud', 'investor', 'bloodletting', 'company', 'another']"
