"Title","Description","Date","Category"
"OpenAI forges deal with iPhone designer Jony Ive to make AI-enabled devices","May 22, 2025  The $6.5 billion deal brings together the maker of ChatGPT and one of the world's most famous product designers in a venture to create new AI-enabled devices.","2025-05-22","technology"
"Raising ethics questions, top Trump meme coin investors to dine with president tonight","May 22, 2025  President Trump is hosting an exclusive dinner tonight for the largest investors in the $TRUMP meme coin, putting the murky world of cryptocurrencies on a collision course with White House ethics.","2025-05-22","technology"
"A Newark air traffic controller on the moment systems went dark","May 21, 2025  Federal regulators are now limiting the number of flights in and out of Newark Liberty International Airport. This comes after a harrowing month for the air traffic controllers who work the airspace around it.","2025-05-21","technology"
"The great battery race: China and the U.S. compete over the future of EVs","May 21, 2025  The car you drive years in the future might run off a battery being invented in a lab today. Companies in China and the United States are racing to perfect and scale up next-generation technologies.","2025-05-21","technology"
"Musk to slow down political spending: 'I think I've done enough'","May 20, 2025  The billionaire executive was Trump's biggest donor in 2024. Now, however, he is planning to cut back his spending on politics, he said on Tuesday.","2025-05-20","technology"
"Verizon ends DEI policies to get FCC's blessing for its $20 billion Frontier deal","May 19, 2025  It's the latest big company to back away from its diversity pledges to keep the U.S. government happy.","2025-05-19","technology"
"Labor watchdog opens investigation into DOGE whistleblower claims after NPR reporting","May 16, 2025  DOGE employees demanded the highest level of access to the labor agency's systems, according to a whistleblower and reporting from NPR. The whistleblower said sensitive data then left the agency.","2025-05-16","technology"
"A tale of murder, artificial intelligence, & forgiveness","May 14, 2025  Should AI give you a voice? Even when you've been murdered?","2025-05-14","technology"
"Is AI the future of America's foreign policy? Some experts think so","May 12, 2025  Large language models like ChatGPT and DeepSeek are increasingly being looked at for their potential to help make decisions in high-stakes situations.","2025-05-12","technology"
"Elizabeth Holmes' partner raises millions for new biotech testing startup","May 10, 2025  The incarcerated former Silicon Valley star is advising her partner on a new health tech startup. Holmes was convicted of defrauding investors in her blood-testing company Theranos.","2025-05-10","technology"
"Google will pay Texas $1.4B to settle claims over user data collection","May 9, 2025  The agreement settles several claims Texas made against the search giant in 2022 related to geolocation, incognito searches and biometric data.","2025-05-09","technology"
"Trump tightens control of independent agency overseeing nuclear safety","May 9, 2025  NPR has learned that rules must now be vetted by the White House and that the administration is drafting an executive order that could loosen radiation limits.","2025-05-09","technology"
"How tech companies could shrink AI's climate footprint","May 9, 2025  Google, Microsoft and Meta have all pledged to reach at least net-zero carbon emissions by 2030. Amazon set their net-zero deadline for 2040. To understand how these four tech companies could possibly meet their climate goals amid an artificial intelligence renaissance, Short Wave co-host Emily Kwong discusses the green AI movement. Speaking with scientists, CEOs and tech insiders, she explores three possible pathways: nuclear energy, small language models (SLMs) and back-to-the-future ways of keeping data centers cool.","2025-05-09","technology"
"Here's why Bill Gates is giving away most of his remaining fortune to his charity","May 8, 2025  After decades of philanthropy following the success of Microsoft, Bill Gates is winding down his namesake charity. What's he going to do next?","2025-05-08","technology"
"From apps to gadgets, 'Second Life' considers how tech is changing having a baby","May 8, 2025  When Amanda Hess learned her unborn child had a genetic condition, she turned to the internet — but didn't find reassurance. ""My relationship with technology became so much more intense,"" she says.","2025-05-08","technology"
"Economists warn Trump's research cuts could have dire consequences for GDP","May 8, 2025  President Trump has proposed slashing federal scientific funding. Economists say the long-term consequences could be dire.","2025-05-08","technology"
"America's air traffic control problem","May 7, 2025  Newark Liberty International Airport has been a mess the past week, with hundreds of flights cancelled and hundreds more delayed. It was triggered in part by an incident on April 28, when air traffic controllers for the airport experienced a radar and communications blackout. They were unable to reach approaching planes.","2025-05-07","technology"
"His Catholic prayer app is one of the most popular in the world. What's his take on the conclave?","May 7, 2025  NPR's Scott Detrow speaks with the CEO of Hallow, a Catholic prayer app, about the next pope.","2025-05-07","technology"
"Family shows AI video of slain victim as an impact statement — possibly a legal first","May 7, 2025  AI experts say this is likely the first time that AI has been used in the U.S. to create an impact statement read by an AI rendering of the deceased victim","2025-05-07","technology"
"Why the true water footprint of AI is so elusive","May 7, 2025  By 2028, Lawrence Berkeley National Laboratory forecasts that U.S. data centers could use as much as 12% of the nation's electricity. The reason: generative AI. Since 2022, AI innovation by four leading tech companies — Google, Microsoft, Meta and Amazon — has led to annual increases in both energy and water consumption. So, in this episode, Short Wave co-host Emily Kwong probes huge water footprint of AI. We begin with the rise of data centers, then look at how computers came to need so much water and, finally, what tech companies are doing to try to turn the ship around.","2025-05-07","technology"
"Major deepfake porn site shuts down","May 6, 2025  MrDeepFakes said that a critical service provider terminated service, resulting in massive data loss. The site, which featured nonconsensual, sexually explicit content, said it would not relaunch.","2025-05-06","technology"
"Former Palantir workers condemn company's work with Trump administration","May 5, 2025  In a rare rebuke, more than a dozen former workers of the powerful data-mining and surveillance company say the firm's work with the Trump administration violates the company's founding principles.","2025-05-05","technology"
"It's last call for Skype as the once-popular video calling app shuts down","May 5, 2025  Microsoft has announced that the pioneering online video calling service that's been around for more than two decades will go offline on Monday.","2025-05-05","technology"
"A telescope's powerful new tool may offer a better way to predict solar storms","May 3, 2025  The Daniel K. Inouye telescope snapped a clear image of sunspots.","2025-05-03","technology"
"OpenAI forges deal with iPhone designer Jony Ive to make AI-enabled devices","May 22, 2025  The $6.5 billion deal brings together the maker of ChatGPT and one of the world's most famous product designers in a venture to create new AI-enabled devices.","2025-05-22","technology"
"Raising ethics questions, top Trump meme coin investors to dine with president tonight","May 22, 2025  President Trump is hosting an exclusive dinner tonight for the largest investors in the $TRUMP meme coin, putting the murky world of cryptocurrencies on a collision course with White House ethics.","2025-05-22","technology"
"A Newark air traffic controller on the moment systems went dark","May 21, 2025  Federal regulators are now limiting the number of flights in and out of Newark Liberty International Airport. This comes after a harrowing month for the air traffic controllers who work the airspace around it.","2025-05-21","technology"
"The great battery race: China and the U.S. compete over the future of EVs","May 21, 2025  The car you drive years in the future might run off a battery being invented in a lab today. Companies in China and the United States are racing to perfect and scale up next-generation technologies.","2025-05-21","technology"
"Musk to slow down political spending: 'I think I've done enough'","May 20, 2025  The billionaire executive was Trump's biggest donor in 2024. Now, however, he is planning to cut back his spending on politics, he said on Tuesday.","2025-05-20","technology"
"Verizon ends DEI policies to get FCC's blessing for its $20 billion Frontier deal","May 19, 2025  It's the latest big company to back away from its diversity pledges to keep the U.S. government happy.","2025-05-19","technology"
"Labor watchdog opens investigation into DOGE whistleblower claims after NPR reporting","May 16, 2025  DOGE employees demanded the highest level of access to the labor agency's systems, according to a whistleblower and reporting from NPR. The whistleblower said sensitive data then left the agency.","2025-05-16","technology"
"A tale of murder, artificial intelligence, & forgiveness","May 14, 2025  Should AI give you a voice? Even when you've been murdered?","2025-05-14","technology"
"Is AI the future of America's foreign policy? Some experts think so","May 12, 2025  Large language models like ChatGPT and DeepSeek are increasingly being looked at for their potential to help make decisions in high-stakes situations.","2025-05-12","technology"
"Elizabeth Holmes' partner raises millions for new biotech testing startup","May 10, 2025  The incarcerated former Silicon Valley star is advising her partner on a new health tech startup. Holmes was convicted of defrauding investors in her blood-testing company Theranos.","2025-05-10","technology"
"Google will pay Texas $1.4B to settle claims over user data collection","May 9, 2025  The agreement settles several claims Texas made against the search giant in 2022 related to geolocation, incognito searches and biometric data.","2025-05-09","technology"
"Trump tightens control of independent agency overseeing nuclear safety","May 9, 2025  NPR has learned that rules must now be vetted by the White House and that the administration is drafting an executive order that could loosen radiation limits.","2025-05-09","technology"
"How tech companies could shrink AI's climate footprint","May 9, 2025  Google, Microsoft and Meta have all pledged to reach at least net-zero carbon emissions by 2030. Amazon set their net-zero deadline for 2040. To understand how these four tech companies could possibly meet their climate goals amid an artificial intelligence renaissance, Short Wave co-host Emily Kwong discusses the green AI movement. Speaking with scientists, CEOs and tech insiders, she explores three possible pathways: nuclear energy, small language models (SLMs) and back-to-the-future ways of keeping data centers cool.","2025-05-09","technology"
"Here's why Bill Gates is giving away most of his remaining fortune to his charity","May 8, 2025  After decades of philanthropy following the success of Microsoft, Bill Gates is winding down his namesake charity. What's he going to do next?","2025-05-08","technology"
"From apps to gadgets, 'Second Life' considers how tech is changing having a baby","May 8, 2025  When Amanda Hess learned her unborn child had a genetic condition, she turned to the internet — but didn't find reassurance. ""My relationship with technology became so much more intense,"" she says.","2025-05-08","technology"
"Economists warn Trump's research cuts could have dire consequences for GDP","May 8, 2025  President Trump has proposed slashing federal scientific funding. Economists say the long-term consequences could be dire.","2025-05-08","technology"
"America's air traffic control problem","May 7, 2025  Newark Liberty International Airport has been a mess the past week, with hundreds of flights cancelled and hundreds more delayed. It was triggered in part by an incident on April 28, when air traffic controllers for the airport experienced a radar and communications blackout. They were unable to reach approaching planes.","2025-05-07","technology"
"His Catholic prayer app is one of the most popular in the world. What's his take on the conclave?","May 7, 2025  NPR's Scott Detrow speaks with the CEO of Hallow, a Catholic prayer app, about the next pope.","2025-05-07","technology"
"Family shows AI video of slain victim as an impact statement — possibly a legal first","May 7, 2025  AI experts say this is likely the first time that AI has been used in the U.S. to create an impact statement read by an AI rendering of the deceased victim","2025-05-07","technology"
"Why the true water footprint of AI is so elusive","May 7, 2025  By 2028, Lawrence Berkeley National Laboratory forecasts that U.S. data centers could use as much as 12% of the nation's electricity. The reason: generative AI. Since 2022, AI innovation by four leading tech companies — Google, Microsoft, Meta and Amazon — has led to annual increases in both energy and water consumption. So, in this episode, Short Wave co-host Emily Kwong probes huge water footprint of AI. We begin with the rise of data centers, then look at how computers came to need so much water and, finally, what tech companies are doing to try to turn the ship around.","2025-05-07","technology"
"Major deepfake porn site shuts down","May 6, 2025  MrDeepFakes said that a critical service provider terminated service, resulting in massive data loss. The site, which featured nonconsensual, sexually explicit content, said it would not relaunch.","2025-05-06","technology"
"Former Palantir workers condemn company's work with Trump administration","May 5, 2025  In a rare rebuke, more than a dozen former workers of the powerful data-mining and surveillance company say the firm's work with the Trump administration violates the company's founding principles.","2025-05-05","technology"
"It's last call for Skype as the once-popular video calling app shuts down","May 5, 2025  Microsoft has announced that the pioneering online video calling service that's been around for more than two decades will go offline on Monday.","2025-05-05","technology"
"A telescope's powerful new tool may offer a better way to predict solar storms","May 3, 2025  The Daniel K. Inouye telescope snapped a clear image of sunspots.","2025-05-03","technology"
"OpenAI forges deal with iPhone designer Jony Ive to make AI-enabled devices","May 22, 2025  The $6.5 billion deal brings together the maker of ChatGPT and one of the world's most famous product designers in a venture to create new AI-enabled devices.","2025-05-22","technology"
"Raising ethics questions, top Trump meme coin investors to dine with president tonight","May 22, 2025  President Trump is hosting an exclusive dinner tonight for the largest investors in the $TRUMP meme coin, putting the murky world of cryptocurrencies on a collision course with White House ethics.","2025-05-22","technology"
"A Newark air traffic controller on the moment systems went dark","May 21, 2025  Federal regulators are now limiting the number of flights in and out of Newark Liberty International Airport. This comes after a harrowing month for the air traffic controllers who work the airspace around it.","2025-05-21","technology"
"The great battery race: China and the U.S. compete over the future of EVs","May 21, 2025  The car you drive years in the future might run off a battery being invented in a lab today. Companies in China and the United States are racing to perfect and scale up next-generation technologies.","2025-05-21","technology"
"Musk to slow down political spending: 'I think I've done enough'","May 20, 2025  The billionaire executive was Trump's biggest donor in 2024. Now, however, he is planning to cut back his spending on politics, he said on Tuesday.","2025-05-20","technology"
"Verizon ends DEI policies to get FCC's blessing for its $20 billion Frontier deal","May 19, 2025  It's the latest big company to back away from its diversity pledges to keep the U.S. government happy.","2025-05-19","technology"
"Labor watchdog opens investigation into DOGE whistleblower claims after NPR reporting","May 16, 2025  DOGE employees demanded the highest level of access to the labor agency's systems, according to a whistleblower and reporting from NPR. The whistleblower said sensitive data then left the agency.","2025-05-16","technology"
